id,planId,dayIndex,mealIndex,mealId,mealName,price,calories,protein,carbs,fats,eatingMode,tags,allergens,note
3,1,0,2,107,BBQ Chicken 107,5.05,565,52,57,23,Cook-at-home,"High-Protein,Gluten-Free,Halal",Seafood,
4,1,1,0,269,Quinoa Salad 269,5.09,743,11,13,7,Eat-out,Vegan,,
5,1,1,1,242,Pasta Carbonara 242,5.11,248,59,88,29,Eat-out,"Vegan,High-Protein","Tree Nuts,Tree Nuts",
6,1,1,2,61,Omelette 61,5.13,508,53,56,10,Cook-at-home,Gluten-Free,,
7,1,2,0,206,Lentil Soup 206,5.13,623,12,34,32,No-preference,"Vegan,Gluten-Free","Eggs,Eggs",
8,1,2,1,54,Omelette 54,5.14,764,35,30,14,Cook-at-home,"Vegetarian,High-Protein,Vegetarian","Tree Nuts,Eggs",
9,1,2,2,377,Caesar Salad 377,5.19,758,49,51,9,No-preference,"Low-Carb,Gluten-Free,Vegan",,
10,1,3,0,415,Caesar Salad 415,5.20,754,57,43,30,No-preference,Low-Carb,,
11,1,3,1,228,Tofu Curry 228,5.01,486,53,52,25,No-preference,"Gluten-Free,Low-Carb",,
12,1,3,2,220,Sushi Roll 220,5.03,474,23,65,14,Eat-out,High-Protein,"Eggs,Tree Nuts",
13,1,4,0,107,BBQ Chicken 107,5.05,565,52,57,23,Cook-at-home,"High-Protein,Gluten-Free,Halal",Seafood,
14,1,4,1,269,Quinoa Salad 269,5.09,743,11,13,7,Eat-out,Vegan,,
15,1,4,2,242,Pasta Carbonara 242,5.11,248,59,88,29,Eat-out,"Vegan,High-Protein","Tree Nuts,Tree Nuts",
16,1,5,0,61,Omelette 61,5.13,508,53,56,10,Cook-at-home,Gluten-Free,,
17,1,5,1,206,Lentil Soup 206,5.13,623,12,34,32,No-preference,"Vegan,Gluten-Free","Eggs,Eggs",
18,1,5,2,54,Omelette 54,5.14,764,35,30,14,Cook-at-home,"Vegetarian,High-Protein,Vegetarian","Tree Nuts,Eggs",
19,1,6,0,377,Caesar Salad 377,5.19,758,49,51,9,No-preference,"Low-Carb,Gluten-Free,Vegan",,
20,1,6,1,415,Caesar Salad 415,5.20,754,57,43,30,No-preference,Low-Carb,,
21,1,6,2,228,Tofu Curry 228,5.01,486,53,52,25,No-preference,"Gluten-Free,Low-Carb",,
1,1,0,0,61,Omelette 61,5.13,508,53,56,10,Cook-at-home,Gluten-Free,,
2,1,0,1,275,Shrimp Fried Rice 275,5.37,266,28,28,31,Eat-out,"High-Protein,Vegan,Vegan","Peanuts,Seafood",
22,2,0,0,228,Tofu Curry 228,5.01,486,53,52,25,No-preference,"Gluten-Free,Low-Carb",,
23,2,0,1,220,Sushi Roll 220,5.03,474,23,65,14,Eat-out,High-Protein,"Eggs,Tree Nuts",
24,2,0,2,107,BBQ Chicken 107,5.05,565,52,57,23,Cook-at-home,"High-Protein,Gluten-Free,Halal",Seafood,
25,2,1,0,269,Quinoa Salad 269,5.09,743,11,13,7,Eat-out,Vegan,,
26,2,1,1,242,Pasta Carbonara 242,5.11,248,59,88,29,Eat-out,"Vegan,High-Protein","Tree Nuts,Tree Nuts",
27,2,1,2,61,Omelette 61,5.13,508,53,56,10,Cook-at-home,Gluten-Free,,
28,2,2,0,206,Lentil Soup 206,5.13,623,12,34,32,No-preference,"Vegan,Gluten-Free","Eggs,Eggs",
29,2,2,1,54,Omelette 54,5.14,764,35,30,14,Cook-at-home,"Vegetarian,High-Protein,Vegetarian","Tree Nuts,Eggs",
30,2,2,2,377,Caesar Salad 377,5.19,758,49,51,9,No-preference,"Low-Carb,Gluten-Free,Vegan",,
31,2,3,0,415,Caesar Salad 415,5.20,754,57,43,30,No-preference,Low-Carb,,
32,2,3,1,228,Tofu Curry 228,5.01,486,53,52,25,No-preference,"Gluten-Free,Low-Carb",,
33,2,3,2,220,Sushi Roll 220,5.03,474,23,65,14,Eat-out,High-Protein,"Eggs,Tree Nuts",
34,2,4,0,107,BBQ Chicken 107,5.05,565,52,57,23,Cook-at-home,"High-Protein,Gluten-Free,Halal",Seafood,
35,2,4,1,269,Quinoa Salad 269,5.09,743,11,13,7,Eat-out,Vegan,,
36,2,4,2,242,Pasta Carbonara 242,5.11,248,59,88,29,Eat-out,"Vegan,High-Protein","Tree Nuts,Tree Nuts",
37,2,5,0,61,Omelette 61,5.13,508,53,56,10,Cook-at-home,Gluten-Free,,
38,2,5,1,206,Lentil Soup 206,5.13,623,12,34,32,No-preference,"Vegan,Gluten-Free","Eggs,Eggs",
39,2,5,2,54,Omelette 54,5.14,764,35,30,14,Cook-at-home,"Vegetarian,High-Protein,Vegetarian","Tree Nuts,Eggs",
40,2,6,0,377,Caesar Salad 377,5.19,758,49,51,9,No-preference,"Low-Carb,Gluten-Free,Vegan",,
41,2,6,1,415,Caesar Salad 415,5.20,754,57,43,30,No-preference,Low-Carb,,
42,2,6,2,228,Tofu Curry 228,5.01,486,53,52,25,No-preference,"Gluten-Free,Low-Carb",,
